0111 0.0 0.0  1722.23  959.554  2077.9  778.148
0112 0.0 0.0  1704.23  936.576  2117.58  768.652
0113 0.0 0.0  1683.4  954.085  2146.71  767.677
0114 0.0 0.0  1673.08  980.211  2774.59  483.045
0115 0.0 0.0  -nan  -nan  -nan  -nan
0116 0.101 0.0  1705.84  930.607  1795.66  948.359
0117 0.101 0.0  -nan  -nan  -nan  -nan
0118 0.101 0.0  -nan  -nan  -nan  -nan
0119 0.101 0.0  -nan  -nan  -nan  -nan
0120 0.101 0.0  -nan  -nan  -nan  -nan
0121 0.200 0.0  -nan  -nan  -nan  -nan
0122 0.200 0.0  -nan  -nan  -nan  -nan
0123 0.200 0.0  -nan  -nan  -nan  -nan
0124 0.200 0.0  -nan  -nan  -nan  -nan
0126 0.200 0.0  -nan  -nan  -nan  -nan
0127 0.200 0.0  -nan  -nan  -nan  -nan
0128 0.200 0.0  -nan  -nan  -nan  -nan
0129 0.290 0.0  1645.92  950.294  2143.1  763.036
0130 0.290 0.0  1693.19  948.341  2143.55  783.866
0131 0.290 0.0  1672.01  976.495  2115.71  806.366
0132 0.290 0.0  1700.83  990.121  2150.37  798.533
0133 0.290 0.0  1639.54  993.831  2148.23  791.046
0134 0.443 0.0  1692.69  943.246  2151.65  767.822
0135 0.443 0.0  1705.22  982.611  2127.01  799.772
0136 0.443 0.0  1721.37  991.235  2170.88  811.815
0137 0.443 0.0  1696.53  1009.15  2170.61  823.254
0138 0.443 0.0  1679  1009.75  2138.47  826.034
0139 0.574 0.0  1706.39  1009.34  2167.72  816.238
0140 0.574 0.0  1713.95  984.387  2117.97  791.828
0141 0.574 0.0  1704.67  995.81  2154.89  800.421
0142 0.574 0.0  1710.75  1004.13  2109.06  813.719
0143 0.574 0.0  1661.92  1027.07  2160.84  815.628
0144 0.687 0.0  1708.35  983.123  2155.12  798.72
0145 0.687 0.0  1676.55  1005.63  2151.88  819.374
0146 0.687 0.0  1667.79  985.227  2153.11  780.421
0147 0.687 0.0  1673.71  987.978  2170.77  826.731
0148 0.687 0.0  1676.01  1008.18  2143.65  824.412
0149 0.845 0.0  1696.06  1009.99  2155.71  824.288
0150 0.845 0.0  1675.38  997.019  2132.96  822.176
0151 0.845 0.0  1630.04  1018.2  2170.98  822.324
0152 0.845 0.0  1624.07  1030.95  2152.4  821.513
0153 0.845 0.0  1648.66  1051.95  2115.6  829.594
0154 0.845 0.0  1644.95  1040.03  2096.15  836.219
0155 1.060 0.0  1702.82  1010.67  2168.49  821.682
0156 1.060 0.0  1603.89  1038.8  2113.02  820.642
0157 1.060 0.0  1639.2  1009.28  2125.38  840.901
0158 1.060 0.0  1640.59  1061.33  2103.69  826.397
0159 1.509 0.0  1726.97  1012.81  2161.48  808.952
0160 1.509 0.0  1646.63  1014.16  2151.25  838.508
0161 1.509 0.0  1681.76  1025.47  2130.48  825.805
0162 1.509 0.0  1672.75  1052.16  2090.39  835.37
0163 1.509 0.0  1591.89  1038.54  2132.45  830.168
0164 1.509 0.0  1621  1022.03  2093.18  849.299
