# Bo sig_Bo Bi sig_Bi shield sig_shield sf sig_sf time_dependent
1.28262 0.000689879 0.004 0 0 0 0 0 0
2.2915 0.000279155 0.00354004 0 0 0 0 0 0
2.31911 0.000674672 0 0 0 0 0 0 0
3.258 0.000380518 -0.00122998 0 0 0 0 0 0
3.26265 0.000334263 0.00466199 0 0 0 0 0 0
4.23533 0.000230211 0.006 0 0 0 0 0 0
4.29437 0.000261062 -0.003 0 0 0 0 0 0
5.24738 0.000296346 0.006 0 0 0 0 0 0
5.2842 0.000350181 -0.005 0 0 0 0 0 0
7.75588 0.000756486 -0.00122601 0 0 0 0 0 0
7.76461 0.000485117 0.014354 0 0 0 0 0 0
10.2289 0.000451145 0.024548 0 0 0 0 0 0
10.2851 0.000375566 0.00628998 0 0 0 0 0 0
12.7572 0.000417435 0.037 0 0 0 0 0 0
13.0727 0.000406346 0.013821 0 0 0 0 0 0
15.3424 0.000243975 0.048713 0 0 0 0 0 0
17.733 0.000352207 0.058598 0 0 0 0 0 0
20.4723 0.000266886 0.086276 0 0 0 0 0 0
22.7339 0.000243243 0.138283 0 0 0 0 0 0
22.8265 0.000184483 0.054276 0 0 0 0 0 0
25.2412 0.000192313 0.201 0 0 0 0 0 0
30.5819 0.000320873 0.441 0 0 0 0 0 0
35.2681 0.000379274 0.814 0 0 0 0 0 0
40.2546 0.00140454 1.49928 0 0 0 0 0 0
45.4335 0.000318609 3.851 0 0 0 0 0 0
45.598 0.000304619 2.87478 0 0 0 0 0 0
50.5799 0.000180853 6.28872 0 0 0 0 0 0
51.2053 0.000148527 8.22332 0 0 0 0 0 0
55.2204 0.000255197 11.8353 0 0 0 0 0 0
