# Bo sig_Bo Bi sig_Bi shield sig_shield sf sig_sf time_dependent
0.653058 0.116051 0.0230701 0 0 0 0 0 0
1.27505 0.065261 0.05 0 0 0 0 0 0
1.86299 0.0591979 0.07 0 0 0 0 0 0
2.47953 0.0682409 0.0882098 0 0 0 0 0 0
3.20412 0.0734046 0.1 0 0 0 0 0 0
5.00562 0.210837 0.15 0 0 0 0 0 0
6.25778 0.130323 0.2 0 0 0 0 0 0
7.51752 0.136078 0.45 0 0 0 0 0 0
10.0731 0.362497 0.57 0 0 0 0 0 0
12.5468 0.316507 0.73227 0 0 0 0 0 0
15.6847 0.414556 1.18774 0 0 0 0 0 0
18.7454 0.345306 2.07 0 0 0 0 0 0
19.948 0.116539 2.54 0 0 0 0 0 0
24.8312 0.519902 5.45 0 0 0 0 0 0
29.7301 0.879008 9.4 0 0 0 0 0 0
35.0579 0.758424 14.1082 0 0 0 0 0 0
39.6387 0.78864 18.33 0 0 0 0 0 0
44.7849 0.595653 23.06 0 0 0 0 0 0
47.3461 0.296351 25.5618 0 0 0 0 0 0
