Fm        u         Fm_err  u_err
0.104     1.14917     0     0.0770636
0.199     1.27043     0     0.0542965
0.303     1.33915     0     0.0487379
0.409     1.55326     0     0.0419608
0.554     2.06792     0     0.0324907
0.59      2.236       0     0.0317267
0.618     2.42746     0     0.0313523
0.651     2.59153     0     0.0325417
0.699     3.03395     0     0.0314873
0.745     4.00642     0     0.0314896

p0            p1            p2           p3
0.702128      -2.26035      1.92858      1.17307
