# Bo sig_Bo Bi sig_Bi shield sig_shield sf sig_sf time_dependent
1.9925 0.000793874 -0.00222699 0 0 0 0 0 0
2.96591 0.000657581 0 0 0 0 0 0 0
4.08256 0.000544976 0.00582001 0 0 0 0 0 0
5.10621 0.00062336 0.0203781 0 0 0 0 0 0
8.16522 0.000634582 0.054655 0 0 0 0 0 0
10.1767 0.000777614 0.130458 0 0 0 0 0 0
12.2719 0.000652336 0.271382 0 0 0 0 0 0
14.2208 0.00060269 0.431 0 0 0 0 0 0
16.2847 0.000884141 0.635806 0 0 0 0 0 0
18.3086 0.000756941 0.888281 0 0 0 0 0 0
20.3914 0.000874376 1.27817 0 0 0 0 0 0
22.3925 0.000957383 2 0 0 0 0 0 0
25.4001 0.00117598 4.05727 0 0 0 0 0 0
30.5564 0.00067042 8.50361 0 0 0 0 0 0
35.1805 0.000447361 12.2484 0 0 0 0 0 0
40.3218 0.0012399 17.0748 0 0 0 0 0 0
45.2418 0.000400651 22.5648 0 0 0 0 0 0
50.3028 0.000254095 27.9523 0 0 0 0 0 0
55.448 0.000159585 33.3924 0 0 0 0 0 0
