# Bo sig_Bo Bi sig_Bi shield sig_shield sf sig_sf time_dependent
1.42295 0.000326174 0.00127002 0 0 0 0 0 0
2.25418 0.000250997 0.002 0 0 0 0 0 0
3.29631 0.000250205 0.00267902 0 0 0 0 0 0
4.27025 0.000242331 0.00269299 0 0 0 0 0 0
5.31019 0.000358554 0.00259802 0 0 0 0 0 0
7.89974 0.000599011 0.004633 0 0 0 0 0 0
10.3584 0.000365884 0.00529401 0 0 0 0 0 0
15.2427 0.00031299 0.005 0 0 0 0 0 0
17.6575 0.000225486 0.00226801 0 0 0 0 0 0
20.5771 0.00105111 -0.00231403 0 0 0 0 0 0
22.7994 0.000165507 -0.00573102 0 0 0 0 0 0
25.1986 0.000244785 -0.011308 0 0 0 0 0 0
30.3484 0.000362617 -0.034767 0 0 0 0 0 0
35.2606 0.00030084 -0.0407 0 0 0 0 0 0
40.3119 0.00143506 -0.0223781 0 0 0 0 0 0
45.4709 0.000292917 0.087 0 0 0 0 0 0
45.4905 0.000396371 0.091 0 0 0 0 0 0
50.4687 0.000227251 0.29432 0 0 0 0 0 0
50.6208 0.000214905 0.399325 0 0 0 0 0 0
55.2962 0.00024607 1.18073 0 0 0 0 0 0
55.4786 0.000223187 0.952271 0 0 0 0 0 0
