# Bo sig_Bo Bi sig_Bi shield sig_shield sf sig_sf time_dependent
0.00185861 0.00209925 -0.03 0 0 0 0 0 0
2.4864 0.294159 0.14 0 0 0 0 0 0
5.03227 0.0033691 0.3 0 0 0 0 0 0
7.64836 0.212751 0.53 0 0 0 0 0 0
12.3361 0.40328 1.57 0 0 0 0 0 0
17.262 0.431701 3.49 0 0 0 0 0 0
22.0919 0.403695 6.24 0 0 0 0 0 0
26.8436 0.409115 9.66771 0 0 0 0 0 0
31.6041 0.398536 13.4936 0 0 0 0 0 0
36.0614 0.391676 17.3918 0 0 0 0 0 0
40.6282 0.361739 21.5282 0 0 0 0 0 0
43.5775 0.300315 24.3518 0 0 0 0 0 0
47.1267 0.322955 27.7482 0 0 0 0 0 0
